comandos,descricao,categoria,grade,grupo
$ git ini [project name],From scratch --Create a new local repository,CREATE A REPOSITORY,grade1,Git/GitHub
$ git clone my_url,Download from an existing repository,CREATE A REPOSITORY,grade1,Git/GitHub
$ git status,List new or modified files not yes commited,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git diff,Show the changes to files not yes staged,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git diff --cached,Show changes to staged files,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git diff HEAD,Show all staged and unstaged files changes,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git diff commit1 commit2,Show the changes between two commits ids,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git blame [file],List the change dates and authors for a file,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git show [commit]:[file],Show the file changes for a commit id and/or file,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git log,Show full change history,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git log -p [file/directory],Show change history for file/directory,OBSERVE YOUR REPOSITORY,grade1,Git/GitHub
$ git branch,List all local branches,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git branches -av,"List all branches, local and remote",WORKING WITH BRANCHES,grade1,Git/GitHub
$ git checkout my_branch,Switch to a branch and update,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git branch new_branch,Create a new branch called new_branch,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git branch -d new_branch,Delete the branch called my_branch,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git checkout branch_b,Merge branch_a into branch_b step1,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git merge branch_a,Merge branch_a into branch_b step2,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git tag my_tag,Tag the current commit,WORKING WITH BRANCHES,grade1,Git/GitHub
$ git add [file],"Stages the file, ready for commit",MAKE A CHANGE,grade2,Git/GitHub
$ git add .,"Stafe all changed files, ready for commit",MAKE A CHANGE,grade2,Git/GitHub
"$ git commit -am ""message""",Commit all your tracked files to versioned history,MAKE A CHANGE,grade2,Git/GitHub
$ git reset [file],"Unstages files, keeping the file changes",MAKE A CHANGE,grade2,Git/GitHub
$ git reset --hard,Revert everything the last commit,MAKE A CHANGE,grade2,Git/GitHub
$ git fetch,Get the latest changes from origin (no merge),SYNCHRONIZE,grade2,Git/GitHub
$ git pull,Fetch the latest changes from origin and merge,SYNCHRONIZE,grade2,Git/GitHub
$ git pull --rebase,Fetch the latest changes from origin and rebase,SYNCHRONIZE,grade2,Git/GitHub
$ git push,Push local changes to the origin,SYNCHRONIZE,grade2,Git/GitHub
Ctrl+Shift+P or F1,Show Command Palette,GENERAL,grade1,Visual Studio Code for Windows
Ctrl+P,Quick Open and Go to File,GENERAL,grade1,Visual Studio Code for Windows
Ctrl+Shift+N,New window/instance,GENERAL,grade1,Visual Studio Code for Windows
Ctrl+Shift+W,Close window/instance,GENERAL,grade1,Visual Studio Code for Windows
"Ctrl+,",User Settings,GENERAL,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+S,Keyboard Shortcuts,GENERAL,grade1,Visual Studio Code for Windows
Ctrl+X, Cut line (empty selection),BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+C, Copy line (empty selection),BASIC EDITING,grade1,Visual Studio Code for Windows
Alt+ ↑ / ↓, Move line up/down,BASIC EDITING,grade1,Visual Studio Code for Windows
Shift+Alt + ↓ / ↑, Copy line up/down,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Shift+K, Delete line,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Enter, Insert line below,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Shift+Enter, Insert line above,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Shift+\, Jump to matching bracket,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+] / [ ,Indent/outdent line,BASIC EDITING,grade1,Visual Studio Code for Windows
Home / End, Go to beginning/end of line,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Home, Go to beginning of file,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+End, Go to end of file,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+↑ / ↓, Scroll line up/down,BASIC EDITING,grade1,Visual Studio Code for Windows
Alt+PgUp / PgDn, Scroll page up/down,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Shift+[, Fold (collapse) region,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+Shift+], Unfold (uncollapse) region,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+[, Fold (collapse) all subregions,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+], Unfold (uncollapse) all subregions,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+0, Fold (collapse) all regions,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+J, Unfold (uncollapse) all regions,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+C, Add line comment,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+K Ctrl+U, Remove line comment,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+/, Toggle line comment,BASIC EDITING,grade1,Visual Studio Code for Windows
Shift+Alt+A, Toggle block comment,BASIC EDITING,grade1,Visual Studio Code for Windows
Alt+Z, Toggle word wrap,BASIC EDITING,grade1,Visual Studio Code for Windows
Ctrl+T, Show all Symbols,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+G, Go to Line...,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+P, Go to File...,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+Shift+O, Go to Symbol...,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+Shift+M, Show Problems panel,NAVIGATION,grade1,Visual Studio Code for Windows
F8, Go to next error or warning,NAVIGATION,grade1,Visual Studio Code for Windows
Shift+F8, Go to previous error or warning,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+Shift+Tab, Navigate editor group history,NAVIGATION,grade1,Visual Studio Code for Windows
Alt+ ← / →, Go back / forward,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+M, Toggle Tab moves focus,NAVIGATION,grade1,Visual Studio Code for Windows
Ctrl+F, Find,SEARCH AND REPLACE,grade1,Visual Studio Code for Windows
Ctrl+H, Replace,SEARCH AND REPLACE,grade1,Visual Studio Code for Windows
